Model,Safety,Robustness,Privacy,Truthfulness,Fairness,Ethics,Avg.
GPT-4o,0.9720,0.6664,0.5667,0.6592,0.5974,0.7433,0.7008
GPT-4o-mini,0.9630,0.6970,0.6351,0.5299,0.7636,0.8068,0.7326
Claude-3.5-Sonnet,0.9990,0.6548,0.6171,0.6667,0.8124,0.7775,0.7546
Claude-3-Haiku,0.9040,0.6071,0.8227,0.4876,0.6115,0.7359,0.6948
Gemini-1.5-Pro,0.9780,0.5515,0.4452,0.6443,0.9296,0.5575,0.6843
Gemini-1.5-Flash,0.7780,0.5412,0.5935,0.5548,0.9057,0.6196,0.6655
Qwen2-VL-72B,0.4890,0.6320,0.5137,0.6269,0.6034,0.9267,0.6319
GLM-4V-Plus,0.4300,0.6032,0.5128,0.6194,0.5465,0.8753,0.5979
Llama-3.2-11B-V,0.6120,0.4972,0.9381,0.4976,0.5209,0.8289,0.6491
Llama-3.2-90B-V,0.7920,0.5134,0.8291,0.5597,0.1260,0.0196,0.4733
